controller,n_runs,scenario,weight_factor,weight_name,weight_value,completion_time_s_mean,completion_time_s_std,dyn_body_collision_steps_mean,dyn_body_collision_steps_std,dyn_exclusion_violation_steps_mean,dyn_exclusion_violation_steps_std,goal_reached_mean,goal_reached_std,max_cont_err_mean,max_cont_err_std,max_solve_ms_mean,max_solve_ms_std,mean_cont_err_mean,mean_cont_err_std,mean_lag_err_mean,mean_lag_err_std,mean_solve_ms_mean,mean_solve_ms_std,mean_speed_mean,mean_speed_std,min_clearance_m_mean,min_clearance_m_std,min_dyn_body_clearance_mean,min_dyn_body_clearance_std,path_efficiency_mean,path_efficiency_std,rms_cont_err_mean,rms_cont_err_std,rms_lag_err_mean,rms_lag_err_std,smoothness_mean,smoothness_std,solver_fail_count_mean,solver_fail_count_std,static_body_collision_steps_mean,static_body_collision_steps_std,static_zone_violation_steps_mean,static_zone_violation_steps_std,total_body_collision_steps_mean,total_body_collision_steps_std,worst_dyn_excl_depth_mean,worst_dyn_excl_depth_std
mpcc_soft,30,OpenClutter,0.5,q_vs,5.0,53.513333,8.006445,0.066667,0.249444,11.333333,9.392669,0.933333,0.249444,0.896133,0.515114,400.895667,224.192534,0.09669,0.059413,-0.004227,0.003821,52.534,11.880264,0.898183,0.167819,0.300672,0.146355,0.38401,0.189618,0.908197,0.351849,0.20613,0.122013,0.03452,0.018475,11.86379,2.735066,0.2,0.791623,0.0,0.0,0.966667,2.359143,0.066667,0.249444,0.115515,0.238305
mpcc_soft,30,OpenClutter,1.0,q_vs,10.0,51.886667,10.644928,0.1,0.3,11.2,9.067892,0.9,0.3,1.06332,0.585661,368.802667,163.839589,0.12467,0.077601,-0.005063,0.004117,50.063667,16.573632,0.828153,0.356311,0.266814,0.143183,0.381794,0.190475,0.98697,0.552617,0.25515,0.153062,0.037167,0.019213,12.117,3.860205,0.066667,0.249444,0.0,0.0,1.933333,3.244825,0.1,0.3,0.125672,0.231684
mpcc_soft,30,OpenClutter,2.0,q_vs,20.0,54.003333,7.66705,0.033333,0.179505,11.366667,9.50608,0.966667,0.179505,1.052257,0.561225,529.183,186.520968,0.141393,0.092827,-0.0049,0.00538,52.831667,19.684011,0.909123,0.190628,0.254196,0.122674,0.396843,0.175056,0.90332,0.431075,0.269893,0.160076,0.038447,0.020521,12.867423,4.455973,0.066667,0.249444,0.0,0.0,2.9,3.4288,0.033333,0.179505,0.11167,0.204992
mpcc_soft,30,OpenClutter,0.5,rho_dyn,50000.0,51.89,10.64573,0.1,0.3,11.566667,9.276074,0.9,0.3,1.065097,0.586923,399.737667,161.729535,0.124313,0.076809,-0.00499,0.00406,50.452333,19.153683,0.82824,0.355984,0.266939,0.143165,0.381448,0.190456,0.98693,0.552566,0.255237,0.153128,0.037913,0.021027,12.08074,3.778413,0.066667,0.249444,0.0,0.0,1.933333,3.161575,0.1,0.3,0.126489,0.231184
mpcc_soft,30,OpenClutter,1.0,rho_dyn,100000.0,51.886667,10.644928,0.1,0.3,11.2,9.067892,0.9,0.3,1.06332,0.585661,392.427667,146.133774,0.12467,0.077601,-0.005063,0.004117,50.986333,19.4118,0.828153,0.356311,0.266814,0.143183,0.381794,0.190475,0.98697,0.552617,0.25515,0.153062,0.037167,0.019213,12.117,3.860205,0.066667,0.249444,0.0,0.0,1.933333,3.244825,0.1,0.3,0.125672,0.231684
mpcc_soft,30,OpenClutter,2.0,rho_dyn,200000.0,51.933333,10.659404,0.1,0.3,11.1,8.745856,0.9,0.3,1.066473,0.586922,377.345667,145.964855,0.125207,0.07772,-0.005147,0.004347,51.061667,19.502828,0.811483,0.362001,0.266662,0.143155,0.381837,0.190494,0.986633,0.552754,0.256207,0.153222,0.037323,0.019351,12.144977,3.844822,0.066667,0.249444,0.0,0.0,1.833333,3.307399,0.1,0.3,0.128768,0.233649
mpcc_hard,30,OpenClutter,0.5,q_cont,1.5,41.556667,16.285427,0.0,0.0,0.133333,0.339935,0.533333,0.498888,0.776253,0.488996,282.048,191.10825,0.101397,0.066982,-0.003457,0.005592,31.77,1.764141,0.94439,0.102982,0.357139,0.126509,0.4992,0.195731,1.491713,1.168842,0.197493,0.126879,0.034327,0.021004,9.225003,4.116796,0.6,0.61101,0.0,0.0,0.733333,1.314872,0.0,0.0,0.006501,0.022407
mpcc_hard,30,OpenClutter,1.0,q_cont,3.0,42.16,16.624512,0.0,0.0,0.166667,0.372678,0.566667,0.495536,0.726257,0.490356,337.524,169.577287,0.08425,0.06008,-0.004983,0.005435,32.220667,1.448358,0.903037,0.211607,0.386802,0.113894,0.500865,0.204538,1.511697,1.219012,0.175173,0.124867,0.03492,0.023895,9.365027,3.833765,0.566667,0.495536,0.0,0.0,0.433333,0.882547,0.0,0.0,0.006383,0.022464
mpcc_hard,30,OpenClutter,2.0,q_cont,6.0,38.933333,17.193823,0.0,0.0,0.233333,0.422953,0.466667,0.498888,0.64136,0.389708,315.730333,71.616373,0.072967,0.06166,-0.00749,0.007013,32.434667,1.687959,0.957307,0.02534,0.407179,0.095826,0.503557,0.20071,1.681607,1.280547,0.151833,0.11454,0.03419,0.025304,8.93569,3.950142,0.566667,0.495536,0.0,0.0,0.133333,0.498888,0.0,0.0,0.012693,0.028892
mpcc_hard,30,OpenClutter,0.5,q_vs,5.0,40.6,16.598735,0.0,0.0,0.233333,0.495536,0.5,0.5,0.659093,0.377374,201.329333,89.316186,0.076767,0.058107,-0.004497,0.005552,30.93,1.990069,0.957313,0.028032,0.395616,0.090468,0.476967,0.156947,1.565267,1.2033,0.157397,0.109124,0.030483,0.021243,8.81364,3.540798,0.533333,0.498888,0.0,0.0,0.133333,0.498888,0.0,0.0,0.015865,0.036194
mpcc_hard,30,OpenClutter,1.0,q_vs,10.0,42.16,16.624512,0.0,0.0,0.166667,0.372678,0.566667,0.495536,0.726257,0.490356,329.739,181.082847,0.08425,0.06008,-0.004983,0.005435,32.274333,1.747199,0.903037,0.211607,0.386802,0.113894,0.500865,0.204538,1.511697,1.219012,0.175173,0.124867,0.03492,0.023895,9.365027,3.833765,0.566667,0.495536,0.0,0.0,0.433333,0.882547,0.0,0.0,0.006383,0.022464
mpcc_hard,30,OpenClutter,2.0,q_vs,20.0,42.323333,16.595174,0.0,0.0,0.166667,0.372678,0.566667,0.495536,0.86517,0.565659,361.523667,120.336857,0.103083,0.07501,-0.005007,0.006113,33.208333,2.372262,0.934113,0.154309,0.357737,0.125715,0.496888,0.199992,1.48477,1.182805,0.205733,0.136175,0.03556,0.024207,9.64148,4.188455,0.533333,0.561743,0.0,0.0,0.9,1.513275,0.0,0.0,0.0123,0.031518
mpcc_hard,30,OpenClutter,0.5,rho_dyn,50000.0,42.16,16.624512,0.0,0.0,0.166667,0.372678,0.566667,0.495536,0.726257,0.490356,332.915667,193.61569,0.08425,0.06008,-0.004983,0.005435,32.256667,1.828067,0.903037,0.211607,0.386802,0.113894,0.500865,0.204538,1.511697,1.219012,0.175173,0.124867,0.03492,0.023895,9.365027,3.833765,0.566667,0.495536,0.0,0.0,0.433333,0.882547,0.0,0.0,0.006383,0.022464
mpcc_hard,30,OpenClutter,1.0,rho_dyn,100000.0,42.16,16.624512,0.0,0.0,0.166667,0.372678,0.566667,0.495536,0.726257,0.490356,327.137667,171.424244,0.08425,0.06008,-0.004983,0.005435,32.409,2.152227,0.903037,0.211607,0.386802,0.113894,0.500865,0.204538,1.511697,1.219012,0.175173,0.124867,0.03492,0.023895,9.365027,3.833765,0.566667,0.495536,0.0,0.0,0.433333,0.882547,0.0,0.0,0.006383,0.022464
mpcc_hard,30,OpenClutter,2.0,rho_dyn,200000.0,42.16,16.624512,0.0,0.0,0.166667,0.372678,0.566667,0.495536,0.726257,0.490356,308.534333,151.697835,0.08425,0.06008,-0.004983,0.005435,30.927333,2.848841,0.903037,0.211607,0.386802,0.113894,0.500865,0.204538,1.511697,1.219012,0.175173,0.124867,0.03492,0.023895,9.365027,3.833765,0.566667,0.495536,0.0,0.0,0.433333,0.882547,0.0,0.0,0.006383,0.022464
